iter	Passed	Remaining
0	151	150971
1	152	76068
2	153	51068
3	154	38536
4	155	31029
5	157	26024
6	158	22433
7	159	19758
8	160	17679
9	161	16004
10	162	14637
11	163	13497
12	166	12648
13	167	11821
14	168	11097
15	170	10459
16	171	9897
17	172	9396
18	173	8948
19	174	8546
20	175	8188
21	176	7863
22	178	7562
23	179	7286
24	180	7030
25	183	6868
26	185	6700
27	187	6500
28	188	6310
29	190	6150
30	191	5983
31	192	5822
32	193	5682
33	195	5542
34	196	5406
35	197	5278
36	198	5159
37	199	5054
38	202	4997
39	203	4895
40	205	4797
41	206	4705
42	207	4615
43	208	4532
44	209	4449
45	210	4374
46	212	4300
47	213	4227
48	214	4159
49	215	4092
50	216	4029
51	220	4012
52	221	3955
53	222	3897
54	223	3842
55	224	3792
56	226	3739
57	227	3696
58	228	3651
59	229	3603
60	231	3556
61	232	3511
62	233	3467
63	234	3427
64	235	3391
65	238	3380
66	240	3346
67	241	3311
68	242	3273
69	243	3237
70	244	3205
71	246	3176
72	247	3146
73	248	3113
74	249	3082
75	251	3054
76	252	3024
77	253	2998
78	257	2999
79	258	2973
80	259	2946
81	260	2920
82	261	2888
83	262	2862
84	263	2840
85	264	2816
86	266	2794
87	267	2771
88	268	2748
89	269	2725
90	270	2703
91	271	2681
92	275	2682
93	276	2668
94	278	2649
95	279	2632
96	280	2615
97	282	2602
98	284	2584
99	285	2567
100	286	2552
101	287	2534
102	288	2516
103	289	2498
104	292	2495
105	294	2481
106	295	2467
107	296	2452
108	297	2435
109	299	2424
110	300	2408
111	301	2393
112	303	2378
113	304	2363
114	305	2350
115	306	2336
116	307	2322
117	308	2309
118	311	2306
119	313	2299
120	314	2286
121	315	2271
122	316	2258
123	318	2248
124	319	2235
125	320	2222
126	321	2209
127	322	2197
128	323	2184
129	325	2177
130	326	2166
131	327	2153
132	329	2149
133	331	2139
134	332	2128
135	334	2124
136	335	2116
137	338	2112
138	339	2104
139	341	2097
140	342	2087
141	343	2075
142	344	2065
143	347	2066
144	348	2056
145	350	2047
146	351	2039
147	352	2030
148	353	2020
149	354	2011
150	355	2001
151	357	1992
152	358	1983
153	359	1973
154	360	1966
155	361	1957
156	363	1950
157	365	1948
158	367	1943
159	368	1936
160	369	1927
161	371	1920
162	373	1918
163	375	1913
164	376	1905
165	378	1899
166	379	1893
167	381	1887
168	383	1885
169	385	1880
170	387	1876
171	388	1868
172	389	1860
173	390	1853
174	392	1848
175	393	1841
176	394	1834
177	395	1826
178	396	1820
179	401	1826
180	402	1820
181	403	1813
182	404	1806
183	405	1800
184	407	1793
185	408	1786
186	409	1779
187	410	1772
188	411	1766
189	412	1760
190	413	1753
191	415	1746
192	417	1746
193	419	1744
194	420	1737
195	422	1732
196	423	1725
197	424	1720
198	426	1715
199	427	1709
200	429	1705
201	430	1700
202	432	1698
203	438	1712
204	440	1708
205	441	1703
206	442	1696
207	445	1697
208	447	1693
209	448	1688
210	450	1684
211	451	1680
212	455	1683
213	458	1685
214	460	1680
215	461	1674
216	462	1670
217	465	1670
218	467	1666
219	469	1663
220	471	1661
221	474	1663
222	476	1659
223	477	1655
224	479	1651
225	480	1647
226	485	1654
227	487	1649
228	488	1643
229	489	1638
230	495	1650
231	497	1646
232	498	1642
233	500	1639
234	502	1635
235	503	1631
236	505	1627
237	506	1622
238	507	1617
239	509	1611
240	513	1618
241	515	1614
242	516	1609
