iter	Passed	Remaining
0	1	165
1	3	178
2	5	162
3	5	140
4	7	134
5	8	126
6	9	123
7	10	121
8	11	117
9	12	113
10	13	110
11	14	106
12	15	104
13	16	103
14	18	102
15	19	99
16	20	97
17	20	95
18	23	99
19	24	98
20	25	96
21	26	94
22	27	92
23	28	90
24	30	91
25	31	89
26	32	87
27	33	86
28	34	84
29	35	83
30	37	82
31	38	80
32	39	79
33	40	78
34	43	80
35	44	78
36	45	76
37	46	75
38	47	73
39	48	72
40	49	71
41	50	69
42	51	68
43	52	66
44	53	65
45	54	64
46	56	63
47	57	61
48	58	60
49	59	59
50	60	58
51	63	58
52	64	56
53	65	55
54	66	54
55	67	53
56	69	52
57	70	50
58	71	49
59	72	48
60	73	46
61	74	45
62	75	44
63	76	43
64	78	42
65	79	40
66	80	39
67	82	38
68	83	37
69	84	36
70	85	34
71	86	33
72	87	32
73	88	31
74	89	29
75	90	28
76	91	27
77	92	26
78	93	24
79	95	23
80	97	22
81	98	21
82	99	20
83	100	19
84	101	17
85	102	16
86	103	15
87	104	14
88	105	13
89	106	11
90	108	10
91	109	9
92	110	8
93	110	7
94	123	6
95	124	5
96	125	3
97	127	2
98	128	1
99	129	0
